stagedproject_id,project_id
3016978,6630225239143940941
3016982,6630736361727036786
3016984,6483439960094487942
3016987,6205066714275747386
3016988,6205066714275747386
3016989,6205066714275747386
3016990,6205066714275747386
3017882,6710379628234622010
3017881,6710379628234622010
3017880,6710379628234622010
3017868,6709637466475826284
3017004,6633800597569186314
3017948,6717232282899412605
3017879,6710379628234622010
3017877,6710379628234622010
3017856,6709016942564432043
3017855,6709016942564432043
3017942,6715574820660126218
3017934,6714832654606362565
3017016,6634034819303877195
3017933,6714832654606362565
3018464,6743406247408636275
3017027,6635049389360520454
3017028,6635049389360520454
3017846,6709016912436774894
3017845,6709016912436774894
3017839,6708895300437749947
3017837,6708895300437749947
3017041,6636162606228935129
3017042,6636424689428284474
3017043,6636424689428284474
3017044,6636424689428284474
3017045,6636424689428284474
3017046,6636424689428284474
3017047,6636424689428284474
3017050,6636424693735082980
3017054,6636904785182338616
3017055,6636904785182338616
3017056,6636904793784103510
3017057,6636904793784103510
3017060,6636904798102638465
3017061,6636904798102638465
3017062,6636904798102638465
3017063,6636904798102638465
3017064,6636904798102638465
3017070,6637275926176549691
3017072,6637436467762047922
3017073,6637436467762047922
3017074,6637436467762047922
3017075,6637436467762047922
3017077,6638018032112621722
3017080,6564821983977471885
3017082,6638464717289529796
3017083,6638464717289529796
3017084,6638760275463973492
3017085,5574352484845039347
3017089,6483439960094487942
3017090,6483439960094487942
3017834,6708895287521390437
3017098,6509411090462479683
3017099,4444407354548345713
3017103,6639502372798296735
3017104,6639502372798296735
3017105,6639502372798296735
3017990,6509411090462479683
3017108,6639502372798296735
3018484,6744519532996547705
3018524,6721141102570757737
3017112,6639502372798296735
3017205,6652490328131621565
3017204,6495633290643460023
3017115,6639502381414794956
3017116,6639873466562603339
3017117,6639873466562603339
3017118,6639873466562603339
3017119,6639873466562603339
3017833,6708895287521390437
3017127,6640244547465632077
3017133,6640615628321450681
3017136,6640615632628218465
3018046,6728191725178817594
3017830,6605850621134324876
3017826,6707548437332739802
3017146,6644538733053955211
3017149,6645068628939055563
3017150,6645068628939055563
3017151,6645068628939055563
3017153,6580778646467690560
3017159,6630225239143940941
3017160,6647295139985340216
3017161,6647295139985340216
3017796,6705555525246980754
3017795,6705555525246980754
3017793,6705555529557713720
3017167,6647295144305844341
3018323,6694051876251473363
3018322,6684032572248422062
3017873,6710008534459509260
3017872,6710008534459509260
3017752,6700360337116455071
3017751,6700360337116455071
3017828,5574352484845039347
3017871,6710008534459509260
3017188,5574352484845039347
3017189,6650634910849646416
3017190,6650634910849646416
3017191,6650634910849646416
3017192,6650634910849646416
3017193,6650634910862428290
3017194,6650634910862428290
3017195,6650634910862428290
3017199,6651005996036800262
3017218,6655830103316436170
3017203,6639502381402985027
3017206,6652490328131621565
3017207,6652490328131621565
3017209,6652861421895915682
3017211,6652861421895915682
3018045,6728191725178817594
3017890,6710750713393304636
3017889,6710750713393304636
3017888,6710750713393304636
3017887,6710750713393304636
3017869,6663251806821617769
3017803,6706297699906433830
3017737,6699247081593336006
3017230,6656201184183099522
3017231,6656201184183099522
3017232,6656201184183099522
3017235,6656201184195900205
3017736,6699247081593336006
3017735,6699247081593336006
3017734,6699247081593336006
3017733,6699247081593336006
3017815,6706668789391533833
3017814,6706668789391533833
3017258,6658185759708791848
3017267,6659169865565327786
3017270,6509411090462479683
3017272,6512044979156779964
3017286,6660654210583344814
3017287,6660654210583344814
3017288,6533650837922883474
3017289,6661025291437189467
3017294,6661025291437189467
3017295,6661025295744894397
3017296,6661025295744894397
3017297,6661025295757684757
3017298,6661025300065423281
3017300,5574352484845039347
3017305,6663251802501149001
3017306,6663251802501149001
3017308,6663251802513887902
3017309,6663251806821617769
3017310,6663251806821617769
3017312,6663374617073255744
3017895,6635049389360520454
3017593,6686259083294657265
3017804,6674384353419662170
3017758,6704442278329532689
3017932,6714832654606362565
3017325,6664474510953129988
3017326,6664474510953129988
3017327,6664474510953129988
3017335,6533650837922883474
3017336,6509411090462479683
3018814,6483439960094487942
3017341,6665478313557197835
3017342,6665478313557197835
3017343,6665478313557197835
3017344,6665478313557197835
3017345,6665478313557197835
3017346,6665478313557197835
3017347,6665478313557197835
3018353,6737468867438815777
3018352,6737468867438815777
3018351,6737468833063345919
3017355,6522382226703850441
3017691,6698424427836727202
3017690,6698424427836727202
3017802,6706297699906433830
3017801,6706297699906433830
3017800,6706297699906433830
3018416,6740437553113045043
3017682,6663251806821617769
3017679,6696781315083186514
3017678,6696781315083186514
3017677,6696781315083186514
